"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,90,yandex,cpc,freemium,21654,90,22,1344173
2023-06-01,67,yandex,cpc,prof-frontend,57138,67,13,1176240
2023-06-01,52,yandex,cpc,prof-python,33026,52,7,549709
2023-06-01,77,vk,cpc,prof-python,2028,46,6,534364
2023-06-01,26,yandex,cpc,base-python,12524,26,7,476021
2023-06-01,89,vk,cpc,freemium-frontend,3160,53,7,471227
2023-06-01,39,yandex,cpc,base-frontend,18061,39,4,322155
2023-06-01,42,yandex,cpc,prof-java,29490,42,3,263690
2023-06-20,3,telegram,cpp,base-java,,1,1,151192
2023-06-01,3,yandex,cpc,dod-php,5964,3,1,150255
2023-06-01,18,yandex,cpc,prof-professions-brand,4818,18,2,147252
2023-06-01,11,yandex,cpc,prof-data-analytics,10086,11,1,144244
2023-06-01,49,vk,cpc,freemium-python,980,30,2,135660
2023-06-01,15,yandex,cpc,base-java,19252,15,1,120000
2023-06-07,3,vk,social,hexlet-blog,,1,1,84000
